step,t_ps,atom,x_A,y_A,z_A,vx_Aps,vy_Aps,vz_Aps,mass_kg,E_kin_eV,E_pot_eV,E_dissip_eV,E_mass_attach_defect_eV,number_of_collisions,b_collision,b_attach,sigma_used_A2,depth_A
0,0.0000000000000000e+00,0,1.5000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1088846189000000e-25,5.9238331991573037e-02,1.9869586926778089e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1291713066130296e+00
0,0.0000000000000000e+00,1,-1.5000000000000000e+00,-1.0000000000000000e+00,-5.0000000000000000e-01,-3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1088846189000000e-25,5.9238331991573037e-02,1.9869586926778089e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1291713066130296e+00
1,1.0000000000000000e-02,0,1.5331063869748653e+00,1.0020709246499102e+00,5.0103546232495511e-01,3.6142053429104282e+00,4.0551007753064094e-01,2.0275503876532047e-01,2.1088846189000000e-25,8.7330651631531128e-02,1.9588124589021410e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1011588096107054e+00
1,1.0000000000000000e-02,1,-1.5331063869748653e+00,-1.0020709246499102e+00,-5.0103546232495511e-01,-3.6142053429104282e+00,-4.0551007753064094e-01,-2.0275503876532047e-01,2.1088846189000000e-25,8.7330651631531128e-02,1.9588124589021410e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1011588096107054e+00
2,2.0000000000000000e-02,0,1.5722841068582085e+00,1.0081102015506129e+00,5.0405510077530646e-01,4.1765665665970770e+00,6.8355722844536460e-01,4.2166029288650697e-01,2.1753061816999999e-25,1.2281080874228524e-01,1.9241378722436770e+00,2.8837952467983263e-03,-3.7499483585430545e-03,1,1,1,7.5369148918340201e+04,-8.0654625783493010e+00
2,2.0000000000000000e-02,1,-1.5722841068582085e+00,-1.0081102015506129e+00,-5.0405510077530646e-01,-3.9735357389896975e+00,-8.4044049003787524e-01,-3.8612097639845960e-01,2.1753061816999999e-25,1.1300468410302807e-01,1.9241378722436770e+00,1.2390496232948425e-02,-3.4505247054359661e-03,1,1,1,7.5369148918340201e+04,-8.0654625783493010e+00
3,2.9999999999999999e-02,0,1.6169029274815188e+00,1.0167751471694102e+00,5.0918639037134328e-01,4.6064762115962044e+00,1.1263926171424012e+00,6.6586163602591875e-01,2.2417277444999998e-25,1.6044554218042656e-01,1.8852147669933561e+00,9.3071809737719779e-03,-8.5038903490742036e-03,2,1,1,5.5282960888558635e+04,-8.0232659367180723e+00
3,2.9999999999999999e-02,1,-1.6148726192054448e+00,-1.0183439797853353e+00,-5.0883099720646285e-01,-4.3077966094698139e+00,-1.1033128121535454e+00,-6.3606793435683406e-01,2.2417277444999998e-25,1.4118542112521842e-01,1.8852065919233472e+00,2.6825352841010827e-02,-7.6337964424794680e-03,2,1,1,6.0080209862823584e+04,-8.0242097729914210e+00
4,4.0000000000000001e-02,0,1.6656354961810012e+00,1.0297190712755580e+00,5.1668537470851206e-01,5.0662736172859031e+00,1.4801444054611919e+00,6.9537865164265844e-01,2.3081493072999997e-25,2.0417113118502558e-01,1.8431625160861129e+00,1.4645269255117332e-02,-1.4379318584614499e-02,3,1,1,4.3607652102689666e+04,-7.9747526698389644e+00
4,4.0000000000000001e-02,1,-1.6606184134942155e+00,-1.0310570748597014e+00,-5.1603204688430448e-01,-4.7504479335331853e+00,-1.4255975518426651e+00,-9.0560002425770625e-01,2.3081493072999997e-25,1.8311890807137862e-01,1.8431311388064093e+00,3.0992756372142286e-02,-1.2903405307842872e-02,3,1,1,4.9556486279316850e+04,-7.9783617335769748e+00
5,5.0000000000000003e-02,0,1.7187815492473197e+00,1.0460590841032447e+00,5.2441017483318608e-01,5.5426835818443436e+00,1.7376228878285842e+00,8.9620298340466142e-01,2.3745708700999996e-25,2.5601382753663826e-01,1.7983436497098697e+00,1.5739582246343392e-02,-2.1540544529695282e-02,4,1,1,3.5283938485615181e+04,-7.9207078961972393e+00
5,5.0000000000000003e-02,1,-1.7106062473811254e+00,-1.0468515761842345e+00,-5.2585905894252050e-01,-5.0915294821054244e+00,-1.5208094932813916e+00,-1.0006487666890354e+00,2.3745708700999996e-25,2.1668946323585994e-01,1.7982913931002327e+00,4.7270680002932039e-02,-1.8964649034720064e-02,4,1,1,3.9340348351481276e+04,-7.9266935330225134e+00
